timestamp,type,says,basketValueGross,overallBasketSavings,basketValueNet,numberOfItems,payment_type,payment_category,payment_amount,customerId,requestId
2021-12-04 17:19:36.555,IN_STORE,NA,7.15,,5.05,5,MastercardDebit,MastercardDebit,5.05,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-07-30 20:07:45.277,IN_STORE,NA,31.91,3.27,27.79,25,MastercardDebit,MastercardDebit,27.79,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-11-23 09:28:22.997,IN_STORE,NA,17.0,0.5,17.0,7,AMERICAN EXPRESS,AMERICAN EXPRESS,17.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-03-26 18:12:14.481,IN_STORE,NA,3.54,,3.54,3,MastercardDebit,MastercardDebit,3.54,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-12-22 18:23:35.379,IN_STORE,NA,20.45,3.9,16.55,9,MastercardDebit,MastercardDebit,16.55,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-11-20 11:46:12.000,IN_STORE,NA,38.64,9.0,38.64,10,Amex,Amex,38.64,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-02-18 13:21:53.424,IN_STORE,NA,6.05,,6.05,2,Amex,Amex,6.05,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-09-30 12:49:01.434,IN_STORE,NA,15.99,,15.99,10,AMERICAN EXPRESS,AMERICAN EXPRESS,15.99,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-05-25 11:14:26.144,IN_STORE,NA,12.83,1.7,9.28,7,MastercardDebit,MastercardDebit,9.28,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-01-02 13:32:46.294,IN_STORE,NA,3.95,,3.95,3,Amex,Amex,3.95,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-11-07 17:48:32.910,IN_STORE,NA,39.87,7.65,39.87,9,MastercardDebit,MastercardDebit,39.87,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-06-11 13:56:15.931,IN_STORE,NA,1.9,,1.9,1,AMERICAN EXPRESS,AMERICAN EXPRESS,1.9,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-09-13 19:04:16.867,IN_STORE,NA,5.48,,5.48,3,Amex,Amex,5.48,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-05 13:29:28.711,IN_STORE,NA,33.11,0.8,33.11,25,AMERICAN EXPRESS,AMERICAN EXPRESS,33.11,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-26 20:41:32.905,IN_STORE,NA,1.6,1.65,1.6,1,AMERICAN EXPRESS,AMERICAN EXPRESS,1.6,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-11-29 15:59:12.235,IN_STORE,NA,27.33,4.0,27.33,10,AMERICAN EXPRESS,AMERICAN EXPRESS,27.33,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-11-07 12:49:02.204,IN_STORE,NA,3.4,1.8,3.4,3,Amex,Amex,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-04-14 14:17:26.500,IN_STORE,NA,48.22,3.75,48.22,37,Amex,Amex,48.22,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-03 11:38:13.147,IN_STORE,NA,3.4,1.9,3.4,3,AMERICAN EXPRESS,AMERICAN EXPRESS,3.4,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-15 20:23:12.332,IN_STORE,NA,5.0,0.4,5.0,4,AMERICAN EXPRESS,AMERICAN EXPRESS,5.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-11-30 21:38:42.666,IN_STORE,NA,5.2,,5.2,11,MastercardDebit,MastercardDebit,5.2,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
